tshirt,positive_pant,detailed,medium,low,empty,dif
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
143700237,183639308,"An image of black slim-fit denim jeans featuring a mid-rise waist, classic five-pocket construction, belt loops, and a metal button fly",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
168523004,103532943,"An image of light wash blue denim boyfriend jeans with a relaxed fit, featuring distressed details and cuffed hems",Generate an image of light wash relaxed-fit boyfriend jeans,Generate an image of cuffed boyfriend jeans, ,"A photo of a Jeans, on white background, high quality."
168523004,103532943,"An image of light wash blue denim boyfriend jeans with a relaxed fit, featuring distressed details and cuffed hems",Generate an image of light wash relaxed-fit boyfriend jeans,Generate an image of cuffed boyfriend jeans, ,"A photo of a Jeans, on white background, high quality."
