tshirt,positive_pant,detailed,medium,low,empty,dif
50690430,97514158,"An image of brown leather high-waisted shorts with a fitted waistband, tailored seams, and a smooth polished finish",Generate an image of brown high-waisted leather shorts,Generate an image of shorts, ,"A photo of a Shorts, on white background, high quality."
193951542,202133198,"An image of black high-waisted skinny denim jeans featuring colorful floral embroidery along the legs, stretchy cotton-blend fabric, form-fitting silhouette, classic five-pocket design, and belt loops",Generate an image of black high-rise skinny jeans with floral embroidery,Generate an image of embroidered skinny jeans, ,"A photo of a Jeans, on white background, high quality."
137642725,213039115,"An image of a beige cotton twill utility mini skirt with a belted waist, structured mini fit, cargo pockets and contrast top-stitching",Generate an image of a beige utility mini skirt with a belted waist,Generate an image of a utility mini skirt, ,"A photo of a Skirt, on white background, high quality."
104595643,136640367,"An image of light-wash denim skinny jeans featuring ripped, distressed detailing and a fitted silhouette",Generate an image of light-wash skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
172774775,173797224,An image of light wash denim high-waisted cutoff shorts featuring a fitted silhouette and frayed hems,Generate an image of light wash high-waisted denim cutoff shorts,Generate an image of cutoff shorts with frayed hems, ,"A photo of a Shorts, on white background, high quality."
172774775,173797224,An image of light wash denim high-waisted cutoff shorts featuring a fitted silhouette and frayed hems,Generate an image of light wash high-waisted denim cutoff shorts,Generate an image of cutoff shorts with frayed hems, ,"A photo of a Cutoff Shorts, on white background, high quality."
183194276,208382837,"An image of an olive green shift dress crafted from smooth lightweight fabric, featuring a draped neckline, cap sleeves, and a relaxed straight fit",Generate an image of an olive green relaxed-fit shift dress,Generate an image of a shift dress, ,"A photo of a Shift Dress, on white background, high quality."
193454044,203378013,"An image of a black high-waisted flared skater mini skirt made from soft cotton-blend fabric, fitted at the waist and flaring out into a playful mini hem",Generate an image of a black flared skater mini skirt with a high waist,Generate an image of a skater mini skirt, ,"A photo of a Skirt, on white background, high quality."
215557068,216085843,An image of blue cropped cuffed denim jeans featuring dragon embroidery,Generate an image of blue cropped cuffed denim jeans,Generate an image of cropped denim jeans, ,"A photo of a Jeans, on white background, high quality."
168896555,164322952,"An image of a light blue vertical striped denim mini skirt with a high-waisted slim fit, classic five-pocket styling, belt loops, and a mini-length hem",Generate an image of a light blue striped denim mini skirt with a slim fit,Generate an image of a denim mini skirt, ,"A photo of a Skirt, on white background, high quality."
187541332,183804113,"An image of blue denim bell-bottom jeans with a flared silhouette, crafted from sturdy denim and finished with playful feather fringe along the hems",Generate an image of blue flared bell-bottom jeans with feather fringe,Generate an image of bell-bottom jeans, ,"A photo of a Jeans, on white background, high quality."
56940698,52650920,"An image of  black cotton chino shorts in a regular, mid-rise fit with neatly cuffed hems, belt loops, and front-and-back pockets",Generate an image of black cuffed chino shorts in a regular fit,Generate an image of chino shorts, ,"A photo of a Chino Shorts, on white background, high quality."
186870474,180528110,"An image of high-waisted tapered blue denim mom jeans with a relaxed fit, classic five-pocket styling, and a button fly",Generate an image of blue high-waisted tapered mom jeans,Generate an image of mom jeans, ,"A photo of a Jeans, on white background, high quality."
129850571,218652934,"An image of black faux-leather skinny leggings with a glossy sheen, high-rise waistband, and figure-hugging stretch fit",Generate an image of black skinny faux-leather leggings,Generate an image of leggings, ,"A photo of a Leggings, on white background, high quality."
165006544,177417385,"An image of black high-waist palazzo trousers in a flowy lightweight fabric, featuring a fitted waistband, dramatic wide-leg silhouette, and floor-length drape",Generate an image of black wide-leg palazzo trousers with a high waist,Generate an image of palazzo trousers, ,"A photo of a Palazzo Trousers, on white background, high quality."
34518221,13623666,An image of a blue-and-white striped cotton pleated girls’ skirt featuring a bow detail at the waistband and a gently flared silhouette,Generate an image of a blue-and-white pleated girls’ skirt,Generate an image of a pleated skirt, ,"A photo of a Skirt, on white background, high quality."
182585723,183283550,"An image of a black leather bandage pencil skirt with a high-waisted, figure-hugging fit and paneled detailing",Generate an image of a fitted black leather pencil skirt,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
159187997,87736225,An image of  black leather skinny pants made from smooth leather with a form-fitting cut and clean hems,Generate an image of black skinny leather pants,Generate an image of leather pants, ,"A photo of a Skinny Pants, on white background, high quality."
179222261,196910081,An image of a pink sleeveless lace shift dress with rose embroidery and a relaxed fit,Generate an image of a pink sleeveless shift dress,Generate an image of a shift dress, ,"A photo of a Shift Dress, on white background, high quality."
115808504,117783828,"Generate an image of  black slim-fit dress trousers in smooth wool-blend suiting fabric, mid-rise with belt loops, zip fly and hook closure, pressed front creases, and tapered legs",Generate an image of  slim-fit black dress trousers,Generate an image of black dress trousers, ,"A photo of a Trousers, on white background, high quality."
205119683,207123955,"An image of a multicolor patchwork leather A-line mini skirt, crafted from assorted colored leather panels with a flared silhouette and above-the-knee length",Generate an image of a leather A-line mini skirt with a multicolor patchwork design,Generate an image of an A-line mini skirt, ,"A photo of a Skirt, on white background, high quality."
179857403,176100072,"An image of dark blue denim high-waist flare bell-bottom jeans with a fitted hip, classic five-pocket detailing, and wide leg openings",Generate an image of dark blue high-waist flared jeans,Generate an image of bell-bottom jeans, ,"A photo of a Jeans, on white background, high quality."
145421991,137627644,"An image of light-wash cotton denim skinny jeans with extreme distressing, tight fit, featuring frayed rips and classic five-pocket construction",Generate an image of light-wash skinny jeans with heavy distressing,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
113586520,113733260,"An image of a black-and-white floral print skater mini skirt in lightweight cotton, high-waisted with a flared A-line fit and mini length hem",Generate an image of a black and white floral skater mini skirt with a flared fit,Generate an image of a skater mini skirt, ,"A photo of a Skirt, on white background, high quality."
129603751,133108529,An image of a red cotton-blend high-waisted skater mini skirt with a bow at the waistband and a flared silhouette,Generate an image of a red high-waisted skater mini skirt,Generate an image of a skater mini skirt, ,"A photo of a Skirt, on white background, high quality."
106414552,103922551,"An image of slim-fit beige cotton-twill chino pants featuring slanted front pockets, back welt pockets, belt loops, and a zip fly",Generate an image of slim-fit beige chino pants,Generate an image of chino pants, ,"A photo of a Chinos, on white background, high quality."
42357059,16150941,"An image of light blue distressed skinny denim jeans featuring frayed knees, subtle whiskering, classic five-pocket styling, and a zip-fly closure",Generate an image of light blue skinny distressed denim jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
111529826,117136730,"An image of a pink and grey abstract-print pleated A-line mini skirt in lightweight woven fabric, fitted at the waist and flaring gently with crisp pleats",Generate an image of a pleated A-line mini skirt in pink-grey abstract print,Generate an image of a pleated mini skirt, ,"A photo of a Skirt, on white background, high quality."
259651,46213687,An image of  dark-wash denim high-rise straight-leg jeans with classic five-pocket styling and a button fly,Generate an image of dark-wash straight-leg high-rise jeans,Generate an image of jeans, ,"A photo of a Jeans, on white background, high quality."
188414714,197245563,"An image of white cotton-blend high-waist tailored trousers with a slim straight-leg fit, pressed front creases, and belt loops",Generate an image of white slim straight-leg tailored trousers,Generate an image of tailored trousers, ,"A photo of a Trousers, on white background, high quality."
99121834,132796084,"An image of a light blue strapless midi fit-and-flare dress made of delicate floral lace with a fitted bodice, cinched waist, and softly flared skirt that falls below the knee",Generate an image of a light blue strapless fit-and-flare midi dress,Generate an image of a strapless dress, ,"A photo of a Dress, on white background, high quality."
99301366,98002086,An image of blush-pink suede skinny pants with a figure-hugging fit and metal zipper accents at the ankles,Generate an image of blush-pink skinny suede pants,Generate an image of skinny pants, ,"A photo of a Skinny Pants, on white background, high quality."
79629019,85170759,An image of a black faux fur mini skirt with a fitted silhouette and functional side pockets,Generate an image of a black faux fur mini skirt,Generate an image of a mini skirt, ,"A photo of a Skirt, on white background, high quality."
122185473,136130831,An image of a beige denim A-line mini skirt with a button-front closure and subtle topstitching,Generate an image of a beige A-line denim mini skirt,Generate an image of a mini skirt, ,"A photo of a Skirt, on white background, high quality."
75700771,71880558,"An image of burgundy faux leather  high-waist shorts with a sleek, fitted silhouette and subtle sheen",Generate an image of burgundy high-waist faux leather shorts,Generate an image of high-waist shorts, ,"A photo of a Shorts, on white background, high quality."
93406650,148801595,"An image of red and black plaid skinny pants made from stretch cotton fabric with a form-fitting skinny cut, featuring front zippers and a mid-rise waistband",Generate an image of red and black plaid skinny pants with front zippers,Generate an image of plaid skinny pants, ,"A photo of a Skinny Pants, on white background, high quality."
165762175,135158918,"An image of a burgundy chiffon maxi skirt featuring a flowy, floor-length silhouette, lightweight semi-sheer fabric, and gentle gathers at the waistband",Generate an image of a flowy burgundy chiffon maxi skirt,Generate an image of a maxi skirt, ,"A photo of a Skirt, on white background, high quality."
177841403,145522677,"Generate an image of  dark wash high-waist ripped skinny denim jeans with stretch fabric, five-pocket construction, and frayed knee slits",Generate an image of dark wash high-waist skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
155642883,148482739,"An image of  black high-waist skinny jeans in stretch denim, featuring a figure-hugging slim fit, classic five-pocket styling, belt loops, and a zip-fly button closure",Generate an image of  black skinny high-rise jeans with a tight fit,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
205550388,204259077,"An image of blue floral jacquard high-waisted shorts featuring delicate lace trim along the hem, made from lightweight woven fabric with a slim tailored fit",Generate an image of blue high-waisted jacquard shorts with a tailored fit,Generate an image of lace-trim shorts, ,"A photo of a Shorts, on white background, high quality."
152123098,150628046,"An image of a blush pink long-sleeve midi dress crafted from flowing chiffon, regular fit, finished with a delicate lace hem",Generate an image of a blush pink long-sleeve midi dress,Generate an image of a midi dress, ,"A photo of a Dress, on white background, high quality."
132142458,146410377,"An image of black high-waist stretch leggings made from form-fitting spandex-blend fabric, full length with a smooth wide waistband",Generate an image of black high-waist stretch leggings with a snug fit,Generate an image of high-waist leggings, ,"A photo of a Leggings, on white background, high quality."
104176761,103732996,"An image of a white floral print A-line mini skirt in soft cotton fabric, fitted at the high waist and gently flared toward the hem",Generate an image of a white floral A-line mini skirt with a flared fit,Generate an image of a floral mini skirt, ,"A photo of a Skirt, on white background, high quality."
65389810,79918193,"An image of light blue distressed denim short shorts featuring delicate lace trim at the hems, frayed edges, a fitted low-rise cut, and a rugged worn-in texture","Generate an image of light blue lace-trimmed distressed denim short shorts, fitted",Generate an image of denim short shorts, ,"A photo of a Short Shorts, on white background, high quality."
99931031,73456599,"An image of a beige and blue floral-print A-line mini skirt in lightweight cotton fabric, high fitted waist, flared above-the-knee hem",Generate an image of an A-line mini skirt with a beige and blue floral pattern and flared fit,Generate an image of a floral mini skirt, ,"A photo of a Skirt, on white background, high quality."
143380889,127714759,"An image of light wash skinny fit denim jeans made from stretch denim fabric, featuring five-pocket styling and a zip fly",Generate an image of light wash skinny fit denim jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
187379322,182327689,"An image of light wash denim mom jeans with a high-waisted relaxed fit, tapered legs, and cuffed ankles",Generate an image of light-wash high-waisted mom jeans with a relaxed tapered fit,Generate an image of mom jeans, ,"A photo of a Jeans, on white background, high quality."
111348426,110351963,"An image of black studded denim short shorts  with a fitted low-rise cut, five-pocket construction, metallic stud embellishments, and frayed hems",Generate an image of fitted black denim short shorts with stud detailing,Generate an image of denim short shorts, ,"A photo of a Short Shorts, on white background, high quality."
147913816,196452206,"An image of green slim-fit dress trousers made from smooth woven fabric, featuring a mid-rise waist, belt loops, zip fly, and pressed front creases",Generate an image of green slim-fit dress trousers,Generate an image of dress trousers, ,"A photo of a Trousers, on white background, high quality."
132904684,192402356,An image of light wash denim wide-leg cropped jeans with distressed detailing and a fringe hem,Generate an image of light wash wide-leg cropped jeans,Generate an image of cropped jeans, ,"A photo of a Jeans, on white background, high quality."
110125079,119236326,"An image of  black high-waisted tailored shorts with a pleated front, cuffed hems, and a structured slim fit",Generate an image of black high-waisted tailored shorts with pleats and cuffs,Generate an image of tailored shorts, ,"A photo of a Shorts, on white background, high quality."
166424287,169734605,"An image of black polka-dot skinny ankle pants made from stretch cotton with a slim, close-fitting silhouette, cropped just above the ankle, featuring an all-over white polka-dot print",Generate an image of black skinny ankle pants with polka dots,Generate an image of skinny ankle pants, ,"A photo of a Ankle Pants, on white background, high quality."
138900912,134205499,An image of light-wash blue denim shorts with a high waist and cuffed hems,Generate an image of high-waisted denim shorts,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
170915431,115683391,"An image of dark blue denim high-waisted skinny jeans with a form-fitting silhouette, classic five-pocket styling, belt loops, and a zip fly",Generate an image of dark blue high-waist skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
140286257,111117361,"An image of black windowpane-plaid skinny-fit overalls made from cotton-blend fabric, featuring adjustable shoulder straps, a front bib pocket, metal hardware, and tapered legs",Generate an image of black skinny windowpane-plaid overalls,Generate an image of skinny overalls, ,"A photo of a Overalls, on white background, high quality."
185322112,179660718,"An image of navy wool culotte pants featuring a high waist, wide-leg silhouette, and cropped length",Generate an image of navy wide-leg culotte pants,Generate an image of culotte pants, ,"A photo of a Culotte Pants, on white background, high quality."
110281367,68593041,"An image of a dark grey wool skater skirt with a high-waisted fit, flared silhouette, and above-knee length",Generate an image of a dark grey flared skater skirt,Generate an image of a skater skirt, ,"A photo of a Skirt, on white background, high quality."
128178651,154790216,An image of a black high-waisted A-line leather midi skirt with a smooth finish and subtle seam detailing,Generate an image of a black A-line leather midi skirt,Generate an image of a leather skirt, ,"A photo of a Skirt, on white background, high quality."
131325644,159530942,An image of light wash denim skinny jeans featuring an all-over star print and a form-fitting five-pocket design,Generate an image of light wash skinny jeans with a star print,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
57092776,80659154,"An image of black distressed denim cutoff shorts with a relaxed fit, frayed hems, and star-and-moon embroidery",Generate an image of black relaxed-fit distressed denim cutoff shorts,Generate an image of cutoff denim shorts, ,"A photo of a Shorts, on white background, high quality."
116926603,114408748,"An image of a sleek black leather pencil skirt with a high-waisted, slim-fit silhouette, knee-length hem, smooth matte finish, and concealed back zipper",Generate an image of a black leather pencil skirt in a slim fit,Generate an image of a leather pencil skirt, ,"A photo of a Skirt, on white background, high quality."
63379422,115201114,"An image of a heather grey bodycon mini skirt in stretchy jersey fabric, form-fitting silhouette, featuring a stylish front knot at the waist",Generate an image of a heather grey bodycon mini skirt with a front knot,Generate an image of a mini skirt, ,"A photo of a Skirt, on white background, high quality."
184706008,182418281,"An image of high-waisted blue denim mom jeans in sturdy cotton, relaxed tapered leg fit, classic five-pocket styling with belt loops and a button fly",Generate an image of blue high-waisted mom jeans with a relaxed tapered fit,Generate an image of mom jeans, ,"A photo of a Jeans, on white background, high quality."
101557285,100715556,"An image of  black straight-leg dress trousers crafted from smooth polyester-blend suiting fabric, tailored fit with a mid-rise waistband, front zip closure, pressed creases, and side pockets",Generate an image of  black straight-leg dress trousers with a tailored fit,Generate an image of straight-leg dress trousers, ,"A photo of a Trousers, on white background, high quality."
63568004,108705723,An image of black high-waisted distressed denim cutoff shorts with raw frayed hems and worn-in detailing,Generate an image of high-waisted black denim cutoff shorts,Generate an image of cutoff shorts, ,"A photo of a Shorts, on white background, high quality."
139607169,46213687,An image of  dark-wash denim high-rise straight-leg jeans with classic five-pocket styling and a button fly,Generate an image of dark-wash straight-leg high-rise jeans,Generate an image of jeans, ,"A photo of a Jeans, on white background, high quality."
211658777,197891270,"An image of a mint green lace pencil skirt crafted from delicate lace, with a fitted silhouette, knee-length hem, and a subtle back vent",Generate an image of a fitted mint green lace pencil skirt,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
106159801,93408570,"An image of a champagne satin circle skirt featuring a high waist, flared silhouette, and lustrous drape",Generate an image of a champagne high-waist flared satin skirt,Generate an image of a circle skirt, ,"A photo of a Skirt, on white background, high quality."
215458949,214699779,"An image of black and white gingham wide-leg pants made from lightweight cotton, featuring a high paperbag waist with a self-tie belt, relaxed flowy fit, and crisp check pattern",Generate an image of gingham wide-leg pants with a paperbag waist,Generate an image of wide-leg pants, ,"A photo of a Pants, on white background, high quality."
144674498,149128878,"An image of a burgundy long-sleeve swing mini dress crafted from lightweight soft fabric, featuring a loose flowy fit, round neckline, and gently flared hem",Generate an image of a burgundy long-sleeve swing mini dress with a relaxed fit,Generate an image of a swing mini dress, ,"A photo of a Dress, on white background, high quality."
208010864,209214927,"Generate an image of white high-waisted tailored shorts crafted from crisp suiting fabric, featuring sharp front pleats and a clean, structured fit",Generate an image of white high-waisted tailored shorts with pleats,Generate an image of tailored shorts, ,"A photo of a Shorts, on white background, high quality."
118439866,117488893,"An image of black skinny stretch denim jeans featuring a classic five-pocket design, button-and-zip fly, belt loops, and ankle-length cut",Generate an image of black skinny stretch denim jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
116919069,122532053,"An image of a light blue pleated tennis mini skirt crafted from lightweight fabric, featuring a high-waisted fit, crisp knife pleats, and a flared A-line silhouette",Generate an image of a light blue pleated tennis mini skirt with a high-waisted fit,Generate an image of a pleated mini skirt, ,"A photo of a Skirt, on white background, high quality."
111989218,143692499,"An image of a camel suede pencil skirt featuring cut-out detailing and fringe trim, with a sleek fitted silhouette",Generate an image of a fitted camel suede pencil skirt,Generate an image of a fringe pencil skirt, ,"A photo of a Skirt, on white background, high quality."
122250645,149469760,"An image of a black faux leather mini skirt with a body-hugging fit, asymmetrical front slit, and smooth matte finish",Generate an image of a slim-fit black faux leather mini skirt,Generate an image of a front-slit mini skirt, ,"A photo of a Skirt, on white background, high quality."
148634804,151548329,"An image of a  short-sleeve shift dress in a multicolored geometric print, crafted from lightweight cotton-blend fabric, featuring a relaxed straight fit, crew neckline, and above-knee length",Generate an image of a  relaxed-fit geometric print shift dress,Generate an image of a shift dress, ,"A photo of a Shift Dress, on white background, high quality."
180761107,183728262,"An image of a black wrap midi skirt in lightweight woven fabric, adorned with white polka dots, mid-calf length, featuring a tie-waist closure and gentle A-line drape",Generate an image of a black polka dot wrap midi skirt with an A-line fit,Generate an image of a wrap midi skirt, ,"A photo of a Skirt, on white background, high quality."
69710032,70186088,"An image of charcoal gray wool  dress trousers with a tailored fit, flat-front design, belt loops, pressed creases, and side pockets",Generate an image of tailored charcoal gray dress trousers,Generate an image of dress trousers, ,"A photo of a Dress Trousers, on white background, high quality."
69710032,70186088,"An image of charcoal gray wool  dress trousers with a tailored fit, flat-front design, belt loops, pressed creases, and side pockets",Generate an image of tailored charcoal gray dress trousers,Generate an image of dress trousers, ,"A photo of a Trousers, on white background, high quality."
185873379,187797662,"An image of light-wash denim jeans featuring a high-rise waist, straight-leg fit, classic five-pocket styling, belt loops, and a button fly",Generate an image of light-wash straight-leg high-rise jeans,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
144997550,149754710,"An image of a burgundy leather wrap mini skirt with a high-waist fitted silhouette, smooth matte finish, side-tie closure, and above-the-knee hem",Generate an image of a fitted burgundy leather wrap mini skirt,Generate an image of a leather mini skirt, ,"A photo of a Skirt, on white background, high quality."
145643139,124862107,"An image of black denim high-waisted skinny jeans with a body-hugging fit, classic five-pocket styling, belt loops, and a zip fly",Generate an image of black high-waisted skinny jeans with a slim fit,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
155337842,163559284,An image of light wash high-waisted distressed denim cutoff shorts with frayed hems,Generate an image of high-waisted light-wash denim cutoff shorts,Generate an image of denim shorts, ,"A photo of a Shorts, on white background, high quality."
171663971,171696092,"An image of light wash, high-waisted distressed denim cutoff shorts with frayed raw hems",Generate an image of light wash high-waisted cutoff denim shorts,Generate an image of denim shorts, ,"A photo of a Shorts, on white background, high quality."
196227007,199726030,"An image of a black faux leather high-waist mini skirt with a sleek bodycon fit, smooth matte finish, subtle top-stitching, and a hidden back zipper",Generate an image of a black high-waist bodycon mini skirt,Generate an image of a mini skirt, ,"A photo of a Skirt, on white background, high quality."
166293940,165308437,"An image of beige high-waisted wide-leg dress pants in smooth suiting fabric with a tailored waistband, subtle front pleats, belt loops, and a concealed zip closure",Generate an image of beige high-waisted wide-leg dress pants,Generate an image of dress pants, ,"A photo of a Dress Pants, on white background, high quality."
73460508,76661481,"An image of a rust orange cotton pleated mini skirt with an elastic waistband, above-the-knee length and soft lightweight drape",Generate an image of a rust orange pleated mini skirt with an elastic waistband,Generate an image of a pleated mini skirt, ,"A photo of a Skirt, on white background, high quality."
161922186,159449744,"An image of black skinny denim jeans made from stretch denim, featuring a mid-rise waist, classic five-pocket styling, belt loops, a zip fly with button closure, and tonal stitching",Generate an image of black skinny denim jeans with a slim tapered fit,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
111215976,112857059,"An image of  dark-wash slim-fit denim jeans with classic five-pocket styling, belt loops, a button fly, and subtle fading",Generate an image of  slim-fit dark-wash jeans,Generate an image of jeans, ,"A photo of a Jeans, on white background, high quality."
148986687,154930248,"An image of black faux leather skinny pants with a high-waisted rise, sleek finish, and form-hugging silhouette",Generate an image of high-waisted black faux leather skinny pants,Generate an image of skinny pants, ,"A photo of a Skinny Pants, on white background, high quality."
64223068,64767177,"An image of high-waisted light-wash denim mom shorts in cotton fabric, relaxed fit, with classic five-pocket styling and belt loops",Generate an image of light-wash high-waisted mom denim shorts,Generate an image of mom shorts, ,"A photo of a Mom Shorts, on white background, high quality."
37262101,51715525,"An image of a  asymmetrical chiffon midi skirt with flowing A-line fit, sharp knife pleats, and a vivid galaxy print in deep purples and blues speckled with star-like accents","Generate an image of a pleated asymmetrical midi skirt with a galaxy print, relaxed fit",Generate an image of a pleated midi skirt, ,"A photo of a Skirt, on white background, high quality."
36139808,25915530,"An image of a beige mini skirt featuring a delicate black lace overlay, slim body-hugging fit, lace fabric over smooth beige lining, mid-rise waist and short hemline",Generate an image of a slim-fit beige mini skirt with black lace overlay,Generate an image of a lace mini skirt, ,"A photo of a Skirt, on white background, high quality."
102335669,102022447,An image of a black leather mini skirt with a fitted silhouette and front zipper pockets,Generate an image of a black fitted leather mini skirt,Generate an image of a mini skirt, ,"A photo of a Skirt, on white background, high quality."
211647912,209214927,"Generate an image of white high-waisted tailored shorts crafted from crisp suiting fabric, featuring sharp front pleats and a clean, structured fit",Generate an image of white high-waisted tailored shorts with pleats,Generate an image of tailored shorts, ,"A photo of a Shorts, on white background, high quality."
206219322,195590627,An image of  blue distressed cotton denim straight-leg jeans with heart patch embroidery and frayed hems,Generate an image of blue relaxed-fit straight-leg denim jeans,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
133875532,136805906,"An image of light wash distressed denim cutoff shorts featuring a high-waisted fit, raw frayed hems, and classic five-pocket styling",Generate an image of light wash high-waisted cutoff denim shorts,Generate an image of distressed denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
133875532,136805906,"An image of light wash distressed denim cutoff shorts featuring a high-waisted fit, raw frayed hems, and classic five-pocket styling",Generate an image of light wash high-waisted cutoff denim shorts,Generate an image of distressed denim shorts, ,"A photo of a Shorts, on white background, high quality."
105632005,108388037,An image of  light-wash distressed denim cutoff shorts with frayed hems and a relaxed fit,Generate an image of light-wash relaxed-fit denim cutoff shorts,Generate an image of cutoff shorts, ,"A photo of a Shorts, on white background, high quality."
170070566,154732437,An image of a navy and green plaid wool A-line mini skirt featuring a button-front closure,Generate an image of a navy and green plaid A-line mini skirt,Generate an image of a plaid mini skirt, ,"A photo of a Skirt, on white background, high quality."
206006979,211259367,An image of light wash cotton denim shorts featuring a high-waisted fit and neatly cuffed hems,Generate an image of light wash high-waisted denim shorts,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
189761541,203814593,An image of black high-waisted distressed denim cutoff shorts with frayed raw hems,Generate an image of black high-waisted denim cutoff shorts,Generate an image of denim cutoff shorts, ,"A photo of a Shorts, on white background, high quality."
160915161,171138181,"An image of a blue denim A-line mini skirt featuring intricate embroidered floral and butterfly motifs, fitted high on the waist with a gentle flare and clean top-stitched hem",Generate an image of a denim A-line mini skirt with embroidered floral butterfly accents,Generate an image of a mini denim skirt, ,"A photo of a Skirt, on white background, high quality."
159111852,148910854,"An image of  black tapered ankle pants crafted from lightweight cotton-blend fabric, slim fit cropped at the ankle, featuring an all-over floral print",Generate an image of black tapered ankle pants with a slim fit and floral pattern,Generate an image of tapered ankle pants, ,"A photo of a Ankle Pants, on white background, high quality."
202482927,138207234,"An image of a pink gingham cotton wrap mini skirt with an adjustable tie waist, slim A-line silhouette, and above-the-knee hem",Generate an image of a pink gingham wrap mini skirt with a regular fit,Generate an image of a wrap mini skirt, ,"A photo of a Skirt, on white background, high quality."
90679907,99616074,"An image of a gold metallic brocade A-line midi skirt with a matching belt, featuring a structured A-line fit, lustrous texture, and midi length",Generate an image of a gold A-line midi skirt with a belt,Generate an image of an A-line skirt, ,"A photo of a Skirt, on white background, high quality."
171255261,205101226,"An image of a blush pink leather asymmetrical mini skirt with a high-waisted, slim fit and angled wrap hemline",Generate an image of a blush pink asymmetrical leather mini skirt,Generate an image of a leather mini skirt, ,"A photo of a Skirt, on white background, high quality."
140815606,139836097,"An image of a black strapless wide-leg jumpsuit made from smooth woven fabric, featuring a fitted waist, concealed back zipper, and flowing wide legs",Generate an image of a black strapless wide-leg jumpsuit,Generate an image of a strapless jumpsuit, ,"A photo of a Jumpsuit, on white background, high quality."
